Groups	Time	GC
annotated	2007.121	42.8134
annotated	2007.178	42.7439
annotated	2007.118	42.8459
annotated	2007.077	42.791
annotated	2006.962	42.8145
annotated	2007.134	42.7596
annotated	2007.115	42.7517
annotated	2007.104	42.791
annotated	2007.14	42.7988
annotated	2007.068	42.7517
annotated	2007.077	42.8067
annotated	2007.115	42.7674
annotated	2007.079	42.7674
annotated	2007.181	42.791
annotated	2007.041	42.6733
annotated	2007.099	42.7439
annotated	2007.088	42.7204
annotated	2007.079	42.7282
annotated	2007.082	42.7204
annotated	2007.145	42.7047
annotated	2007.118	42.7282
annotated	2007.066	42.6811
annotated	2007.118	42.7047
annotated	2007.077	42.7204
annotated	2007.041	42.7204
annotated	2007.041	42.7204
annotated	2007.153	42.689
annotated	2007.115	42.7517
annotated	2007.159	42.736
annotated	2007.085	42.7831
annotated	2007.173	42.7596
annotated	2007.107	42.7596
annotated	2007.077	42.7596
annotated	2007.14	42.6968
annotated	2007.115	42.7753
annotated	2007.011	42.7439
annotated	2007.008	42.7125
annotated	2007.058	42.736
annotated	2007.134	42.8381
annotated	2007.195	42.7988
annotated	2007.134	42.8381
annotated	2007.175	42.7596
annotated	2007.101	42.8067
annotated	2007.14	42.7741
annotated	2007.088	42.7596
annotated	2006.989	42.7596
annotated	2007.159	42.8011
annotated	2007.137	42.7753
annotated	2007.153	42.7741
annotated	2007.068	42.791
annotated	2007.085	42.7596
annotated	2007.082	42.791
annotated	2007.079	42.7831
annotated	2007.115	42.7988
annotated	2007.088	42.7753
annotated	2007.126	42.791
annotated	2007.118	42.7988
annotated	2007.068	42.7596
annotated	2007.175	42.7674
annotated	2007.137	42.7517
annotated	2007.14	42.7753
annotated	2007.145	42.6968
annotated	2007.14	42.8145
annotated	2007.14	42.7674
annotated	2007.137	42.7674
annotated	2007.153	42.7753
annotated	2007.137	42.7674
annotated	2007.118	42.7674
annotated	2007.137	42.8145
annotated	2007.126	42.7988
annotated	2007.058	42.7988
annotated	2007.162	42.7517
annotated	2007.115	42.736
annotated	2007.126	42.7674
annotated	2007.118	42.7988
annotated	2007.107	42.7831
annotated	2007.077	42.7753
annotated	2007.137	42.7753
annotated	2007.118	42.7797
annotated	2007.137	42.7596
annotated	2007.121	42.7596
annotated	2007.195	42.736
annotated	2007.115	42.7596
annotated	2007.173	42.7988
annotated	2007.06	42.7741
annotated	2007.101	42.7517
annotated	2007.123	42.7517
annotated	2007.099	42.7674
annotated	2007.118	42.7596
annotated	2007.14	42.7439
annotated	2007.101	42.7674
annotated	2007.156	42.7439
annotated	2007.099	42.736
annotated	2007.085	42.7517
annotated	2007.096	42.7383
annotated	2007.068	42.7439
annotated	2007.164	42.7753
annotated	2007.041	42.7753
