FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Wales	England	0.7907635496983749	0.04372183656071124
France	Finland	0.6922571226262516	0.038484959201071735
Gambia	Finland	0.4872879779349652	0.02740226525392766
Germany	Finland	1.256209522452706	0.06771404213859457
Isle_of_Man	Finland	1.0714604691997212	0.05833637802947266
Italy	Finland	0.2934704018248108	0.016684934843502617
Jersey	Finland	1.2926329861031463	0.06954085982218974
Leningrad_region	Finland	1.8205762768601785	0.09523809523809523
Luxembourg	Finland	0.9183437856728336	0.05042016806722689
Netherlands	Finland	0.2847608474638321	0.01619778346121057
Poland	Finland	40.930495926753196	0.7029594446474242
Scotland	Finland	0.49619940996107725	0.027889416636219706
Spain	Finland	0.2869374273174455	0.016319571306783583
Wales	Finland	1.0288017812269876	0.05614419680915845
Gambia	France	0.4628275066720949	0.026062598952624527
Germany	France	1.080967164385731	0.058823529411764705
Isle_of_Man	France	1.1238693631278884	0.06101571063207892
Italy	France	0.23701205974679732	0.01351845085860431
Jersey	France	0.9651840027638571	0.05285592497868713
Leningrad_region	France	0.8276930814592122	0.04567044208987943
Luxembourg	France	1.217514835131367	0.06576543660942638
Netherlands	France	12.076426546320507	0.4111557666544879
Poland	France	0.6604164038831524	0.036779929363049566
Scotland	France	0.6060937787958821	0.033857021069297284
Spain	France	0.3744447661627317	0.021191085129704055
Wales	France	1.5942755944013016	0.08439897698209718
Germany	Gambia	1.5892517246607236	0.08415540129095116
Isle_of_Man	Gambia	1.4200159059827315	0.07587382779198636
