family,GC
Anatidae,44.76287688
Anatidae,44.75420135
Anatidae,44.77072864
Anatidae,44.33629013
Anatidae,44.48370632
Anatidae,45.00431677
Anatidae,44.9964681
Anatidae,44.98861942
Anatidae,45.02786281
Anatidae,44.85790548
Anatidae,44.80667769
Anatidae,45.16129032
Anatidae,44.77447745
Anatidae,44.43921199
Anatidae,44.43136332
Anatidae,44.34502786
Anatidae,44.73746174
Anatidae,44.74531042
Anatidae,45.09896324
Anatidae,44.63627089
Anatidae,44.97566337
Anatidae,44.99921495
Anatidae,44.75068708
Anatidae,44.70089496
Anatidae,44.70089496
Anatidae,44.70874549
Anatidae,44.82731554
Anatidae,44.79240248
Anatidae,44.77670513
Anatidae,44.95722471
Anatidae,44.8551919
Anatidae,44.79240248
Anatidae,44.81594851
Anatidae,44.95722471
Anatidae,44.80025116
Anatidae,45.05140884
Anatidae,45.07495487
Anatidae,44.65112629
Anatidae,44.86304058
Anatidae,44.98077074
Anatidae,45.0985009
Anatidae,44.83949455
Anatidae,44.86304058
Anatidae,44.86304058
Anatidae,44.89443529
Anatidae,44.84734322
Anatidae,44.8551919
Anatidae,44.98861942
Anatidae,44.91558697
Anatidae,44.83949455
Anatidae,45.00431677
Anatidae,44.84734322
Anatidae,44.84734322
Anatidae,44.74014759
Anatidae,44.92583
Anatidae,44.94152735
Anatidae,44.93367868
Anatidae,44.94937603
Anatidae,44.98861942
Anatidae,44.95722471
Anatidae,44.95722471
Anatidae,44.93367868
Anatidae,44.90228397
Anatidae,44.92583
Anatidae,44.93367868
Anatidae,45.31826387
Anatidae,44.99411072
Anatidae,44.76885645
Anatidae,44.76100777
Anatidae,44.7845538
Anatidae,44.50290561
Anatidae,44.79510127
Anatidae,45.10634958
Anatidae,45.06710619
Anatidae,45.12989561
Anatidae,45.06710619
Anatidae,44.77670513
Anatidae,44.76885645
Anatidae,44.80025116
Anatidae,44.61103697
Anatidae,45.13065997
Anatidae,44.90853419
Anatidae,45.16635279
Anatidae,44.97998273
Anatidae,44.94152735
Anatidae,44.70089496
Anatidae,44.97292206
Anatidae,45.03571148
Anatidae,44.69821835
Anatidae,44.77940022
Anatidae,45.08280355
Anatidae,45.0577059
Anatidae,44.86304058
Anatidae,44.40257497
Anatidae,44.73229706
Anatidae,44.98190971
Anatidae,44.69821835
Anatidae,44.82460959
Anatidae,44.78970496
Anatidae,44.91013264
Anatidae,44.96507339
Anatidae,44.69534902
Anatidae,44.7424638
Anatidae,44.2979358
Anatidae,44.79240248
Anatidae,44.73229706
Anatidae,44.58048819
Anatidae,44.70172684
Anatidae,44.82379719
Anatidae,44.88930758
Anatidae,44.7845538
Anatidae,44.56479083
Anatidae,44.74014759
Anatidae,44.81865285
Anatidae,44.59883812
Anatidae,44.72961306
Anatidae,44.69036967
Anatidae,44.88658661
Anatidae,44.72176438
Anatidae,44.93367868
Anatidae,44.76100777
Anatidae,44.89443529
Anatidae,44.65897496
Anatidae,44.90228397
Anatidae,44.70606703
Anatidae,44.55958549
Anatidae,44.69036967
Anatidae,44.69821835
Anatidae,44.86304058
Anatidae,44.94152735
Anatidae,44.81098001
Anatidae,45.00431677
Anatidae,44.72176438
Anatidae,44.85517683
Anatidae,44.73353246
Anatidae,45.03571148
Anatidae,44.48108023
Anatidae,44.68519391
Anatidae,44.70874549
Anatidae,44.87873793
Anatidae,44.96507339
Anatidae,44.98861942
Anatidae,44.56269505
Anatidae,44.60713714
Anatidae,45.02001413
Anatidae,44.76885645
Anatidae,45.02951594
Anatidae,44.6118829
Anatidae,44.91798132
Anatidae,44.90228397
Anatidae,45.231237
Anatidae,45.19484676
Anatidae,45.21523444
Anatidae,44.71391571
Anatidae,45.03571715
Anatidae,44.9183947
Anatidae,44.83926883
Anatidae,45.13774429
Anatidae,44.33977076
Anatidae,44.5909876
Anatidae,44.66164233
Anatidae,44.6223897
Anatidae,44.63724874
Anatidae,44.87088926
Anatidae,44.89202984
Anatidae,44.87088926
Anatidae,44.93367868
Anatidae,45.05140884
Anatidae,44.86304058
Anatidae,44.73808772
Anatidae,44.78993591
Anatidae,44.70606703
Anatidae,44.88930758
Anatidae,44.86304058
Anatidae,45.04356016
Anatidae,44.85790548
Anatidae,45.169139
