Group,GenomicGC,Label
AvH91,45.0310315,Av
AvH91,45.0310315,Av
AvH91,45.03888758,Av
AvH91,45.01531935,Av
AvH91,45.0310315,Av
AvH91,45.02042099,Av
AvH91,45.00746327,Av
AvH91,45.03612944,Av
AvH91,45.00471254,Av
AvH91,45.02042099,Av
AvH91,45.13038014,Av
AvH91,45.05459973,Av
AvH91,45.01531935,Av
AvH91,45.05459973,Av
AvH91,45.06245581,Av
AvH91,44.94461466,Av
AvH91,44.92890251,Av
AvH91,44.95247074,Av
AvH91,44.96032681,Av
AvH91,44.96032681,Av
AvH91,45.00746327,Av
AvH91,44.98389504,Av
AvH91,44.99175112,Av
AvH91,44.98900408,Av
AvH91,44.97603897,Av
AvH91,44.94461466,Av
AvH91,45.03888758,Av
AvH91,44.9996072,Av
AvH91,44.99175112,Av
AvH91,44.99685831,Av
AvH91,45.0310315,Av
AvH91,45.0310315,Av
AvH91,45.0310315,Av
AvH91,45.03888758,Av
AvH91,45.01531935,Av
AvH91,45.02042099,Av
AvH91,45.02317543,Av
AvH91,45.21957734,Av
AvH91,44.86091466,Av
AvH91,45.00746327,Av
AvH91,45.02042099,Av
AvH91,44.97603897,Av
AvH91,44.97603897,Av
AvH91,44.99685831,Av
AvH91,45.03888758,Av
AvH91,44.83734088,Av
AvH91,44.83734088,Av
AvH91,44.84519881,Av
AvH91,44.83462959,Av
AvH91,44.86877259,Av
AvH91,45.00746327,Av
AvH91,45.01531935,Av
AvH91,45.02317543,Av
AvH91,45.0310315,Av
AvH91,45.00746327,Av
AvH91,44.8974782,Av
AvH91,45.14101658,Av
AvH91,44.6617959,Av
AvH91,44.78749313,Av
AvH91,44.84248566,Av
AvH91,45.07031189,Av
AvH91,45.05813953,Av
AvH91,44.95520981,Av
AvH91,44.97878359,Av
AvH91,44.97878359,Av
AvH91,44.97092566,Av
AvH91,44.90020431,Av
AvH91,44.98664152,Av
AvH91,44.96306774,Av
AvH91,44.97092566,Av
AvH91,44.96306774,Av
AvH91,44.99449945,Av
AvH91,44.93949395,Av
AvH91,44.77447745,Av
AvH91,44.86605389,Av
AvH91,44.86605389,Av
AvH91,44.83462959,Av
AvH91,44.85034174,Av
AvH91,44.84248566,Av
AvH91,44.83462959,Av
AvH91,44.84248566,Av
AvH91,44.83462959,Av
AvH91,44.83462959,Av
AvH91,44.83462959,Av
AvH91,44.84248566,Av
AvH91,44.85034174,Av
AvH91,44.81106136,Av
AvH91,44.85034174,Av
AvH91,44.85034174,Av
AvH91,44.85819782,Av
AvH91,44.85819782,Av
AvH91,44.85034174,Av
AvH91,44.85819782,Av
AvH91,44.83462959,Av
AvH91,44.87390997,Av
AvH91,44.86605389,Av
AvH91,44.85819782,Av
AvH91,44.84248566,Av
AvH91,44.88176605,Av
AvH91,44.77178097,Av
AvH91,44.75172847,Av
AvH91,45.22237938,Av
AvH91,44.86877259,Av
