G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,B3.13,HuH3N8
44.54645323,44.71908349,45.07219083,44.99372254,,,,,,,,,,,44.75831764,
44.57784055,44.70338983,45.04080352,45.10357815,,,,,,,,,,,44.75047081,
44.47583176,44.67984934,45.08003766,45.10357815,,,,,,,,,,,44.75831764,
44.49418787,44.68769617,44.97802888,44.96233522,,,,,,,,,,,44.7740113,
44.50721908,44.6170747,44.93879473,45.04865035,,,,,,,,,,,44.7740113,
44.56999372,44.67984934,44.98587571,44.97018205,,,,,,,,,,,44.74262398,
44.56214689,44.72693032,44.91785237,45.05649718,,,,,,,,,,,44.7740113,
44.55430006,44.75047081,44.98310678,45.05649718,,,,,,,,,,,44.75047081,
44.55430006,44.64061519,44.94664156,45.07219083,,,,,,,,,,,44.88064081,
44.52291274,44.695543,44.95016872,45.03295669,,,,,,,,,,,44.75831764,
44.48367859,44.70338983,44.88386692,44.93879473,,,,,,,,,,,44.74262398,
44.51506591,44.67200251,45.01726303,44.94664156,,,,,,,,,,,44.73477715,
44.49152542,44.695543,44.91525424,44.96233522,,,,,,,,,,,44.74262398,
44.50721908,44.68769617,44.89956058,44.96233522,,,,,,,,,,,44.76616447,
44.48367859,44.72981464,45.00156937,45.04080352,,,,,,,,,,,44.73477715,
44.48367859,44.74907429,44.97371106,45.04865035,,,,,,,,,,,44.75047081,
44.47932198,44.68769617,44.99372254,45.05140884,,,,,,,,,,,44.7740113,
44.44005998,44.695543,44.83164587,45.04080352,,,,,,,,,,,44.7740113,
44.52640665,44.73477715,44.88578381,44.99372254,,,,,,,,,,,44.76616447,
44.51506591,44.71908349,44.87712962,45.04080352,,,,,,,,,,,44.76616447,
44.48367859,44.66415568,44.86847271,45.04865035,,,,,,,,,,,44.78185813,
44.52291274,44.71123666,44.84463277,45.07219083,,,,,,,,,,,44.79755179,
44.50721908,44.68769617,44.84463277,45.03295669,,,,,,,,,,,44.7740113,
44.53075957,44.71908349,44.83245704,44.97802888,,,,,,,,,,,44.7740113,
44.39472445,44.66415568,44.86817326,45.04865035,,,,,,,,,,,44.7740113,
44.48108023,44.71123666,44.87954171,45.01726303,,,,,,,,,,,44.78185813,
44.48108023,44.695543,44.88386692,45.04865035,,,,,,,,,,,44.76616447,
44.48457251,44.82109228,44.9309479,45.01726303,,,,,,,,,,,44.73477715,
44.43397708,44.71123666,44.89363372,44.95448839,,,,,,,,,,,44.7740113,
44.41478923,44.67984934,44.89091194,45.00156937,,,,,,,,,,,44.79755179,
44.43833896,44.70068301,44.8822606,44.98587571,,,,,,,,,,,44.79755179,
44.44967813,44.75524476,44.84030448,45.01726303,,,,,,,,,,,44.79755179,
44.42961451,44.71123666,44.91798132,,,,,,,,,,,,44.79755179,
44.4173995,44.67200251,44.85599937,,,,,,,,,,,,44.80539862,
44.38687392,44.67200251,44.85599937,,,,,,,,,,,,44.78970496,
44.41827602,44.63645775,44.94232127,,,,,,,,,,,,44.79755179,
44.42612655,44.68769617,44.90693474,,,,,,,,,,,,44.78970496,
44.43833896,44.70440449,44.98587571,,,,,,,,,,,,44.78103908,
44.4601381,44.70338983,44.99372254,,,,,,,,,,,,44.76616447,
44.42875078,44.67984934,45.13496547,,,,,,,,,,,,44.78185813,
44.47583176,44.67200251,44.9309479,,,,,,,,,,,,44.7740113,
44.40781728,44.8169282,44.9309479,,,,,,,,,,,,44.76616447,
44.47409733,44.7740113,44.94664156,,,,,,,,,,,,44.78185813,
44.50200141,44.80050267,44.95448839,,,,,,,,,,,,44.7740113,
44.4514205,44.78970496,44.94664156,,,,,,,,,,,,44.79755179,
44.45054945,44.75831764,44.96233522,,,,,,,,,,,,44.78185813,
44.47845538,44.79755179,44.89171375,,,,,,,,,,,,44.7740113,
44.47845538,44.75831764,44.97018205,,,,,,,,,,,,44.78185813,
44.43921199,44.78970496,44.97018205,,,,,,,,,,,,44.76616447,
44.43921199,44.67984934,44.78185813,,,,,,,,,,,,44.78185813,
44.43136332,44.7845538,44.97802888,,,,,,,,,,,,44.7740113,
44.44270016,44.88306388,44.93879473,,,,,,,,,,,,44.73477715,
44.49764521,44.7845538,44.97018205,,,,,,,,,,,,44.7740113,
